id,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,nom_vial,nom_v_e_1,numero_ext,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,latitud,longitud,fecha_alta,telefono,correoelec,www,PADO_geo,location_match,name_match,reason_for_checking,RA,Pharmacy,PADO,Chain,NO GSV,Permanently_closed,Note,GSV DATE
444003,FARMACIA CRISFER,,464111,Farmacias sin minisúper,0 a 5 personas,MATAMOROS PONIENTE,CARLOS CASUGA OSAKA,0,30590,7,Chiapas,1,Acacoyagua,1,Acacoyagua,71,64,15.33614645,-92.67735376,2014-12,9181514696,,,FALSE,FALSE,FALSE,No GSV within radius,Jorge,,,,,,,
503734,FARMACIA SIMILARES BETHEL,,464111,Farmacias sin minisúper,0 a 5 personas,CENTRAL MIGUEL HIDALGO NORTE,YUCATAN ORIENTE,0,30590,7,Chiapas,1,Acacoyagua,1,Acacoyagua,67,8,15.34341788,-92.67415322,2010-07,9181000256,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
503738,FARMACIA SIMILARES BETHEL,,464111,Farmacias sin minisúper,0 a 5 personas,CENTRAL MIGUEL HIDALGO NORTE,YUCATAN PONIENTE,0,30590,7,Chiapas,1,Acacoyagua,1,Acacoyagua,67,35,15.34359859,-92.67415968,2010-07,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
503804,FARMACIA CENTRAL,,464111,Farmacias sin minisúper,0 a 5 personas,INSURGENTES SUR,JARDINES PONIENTE,,30590,7,Chiapas,1,Acacoyagua,1,Acacoyagua,67,17,15.34139516,-92.67538519,2010-07,9186474185,,,FALSE,TRUE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
503830,FARMACIA LA ESPERANZA,,464111,Farmacias sin minisúper,0 a 5 personas,CENTRAL CHIAPAS PONIENTE,INSURGENTES SUR,0,30590,7,Chiapas,1,Acacoyagua,1,Acacoyagua,71,19,15.34050227,-92.67580741,2010-07,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
503833,FARMACIA LA MERCED,,464111,Farmacias sin minisúper,0 a 5 personas,INSURGENTES SUR,DURANGO PONIENTE,,30590,7,Chiapas,1,Acacoyagua,1,Acacoyagua,71,19,15.33997012,-92.67551796,2010-07,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
503859,FARMACIA DEL CARMEN,,464111,Farmacias sin minisúper,0 a 5 personas,INSURGENTES SUR,DURANGO PONIENTE,0,30590,7,Chiapas,1,Acacoyagua,1,Acacoyagua,71,18,15.33930697,-92.67558103,2010-07,9181056893,CELMIRAHORITAANTONIO@GMAIL.COM,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
504185,FARMACIA GER,,464111,Farmacias sin minisúper,0 a 5 personas,VICENTE GUERRERO NORTE,COSTERA,0,30590,7,Chiapas,1,Acacoyagua,1,Acacoyagua,52,16,15.34254788,-92.67764899,2010-07,9621429648,,,TRUE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,TRUE,INDEPENDENT,,,,
8116065,FARMACIA SIMILARES DE ACACOYAGUA,,464111,Farmacias sin minisúper,0 a 5 personas,CENTRAL MIGUEL HIDALGO NORTE,NUEVO LEON ORIENTE,0,30590,7,Chiapas,1,Acacoyagua,1,Acacoyagua,67,21,15.3446035,-92.6736556,2019-11,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,"MARKED IN GSV, FARMACIA ACACOYAGUA",
8116358,FARMACIA SIMILARES FENIX,,464111,Farmacias sin minisúper,0 a 5 personas,CENTRAL CHIAPAS PONIENTE,INSURGENTES SUR,0,30590,7,Chiapas,1,Acacoyagua,1,Acacoyagua,71,19,15.34048921,-92.67574326,2019-11,9181157488,EVERSOTO@HOTMAIL.COM,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,TRUE,INDEPENDENT,,,,
8116407,FARMACIA EBEN EZER,,464111,Farmacias sin minisúper,0 a 5 personas,CARLOS CASUGA OSAKA,SINALOA PONIENTE,5,30590,7,Chiapas,1,Acacoyagua,1,Acacoyagua,71,61,15.33812121,-92.67736065,2019-11,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
9110341,FARMACIA SIMILARES DE ACACOYAGUA,,464111,Farmacias sin minisúper,0 a 5 personas,CENTRAL MIGUEL HIDALGO NORTE,COSTERA,,30590,7,Chiapas,1,Acacoyagua,1,Acacoyagua,67,6,15.34246566,-92.67463518,2019-11,,,,FALSE,TRUE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
9686199,FARMACIA SANTA CECILIA,,464111,Farmacias sin minisúper,0 a 5 personas,INSURGENTES SUR,SINALOA PONIENTE,0,30590,7,Chiapas,1,Acacoyagua,1,Acacoyagua,71,7,15.33863076,-92.67557995,2024-11,9181182636,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,TRUE,INDEPENDENT,,,,
10437818,FARMACIA SIN NOMBRE,,464111,Farmacias sin minisúper,0 a 5 personas,NINGUNO,NINGUNO,0,30590,7,Chiapas,1,Acacoyagua,1,Acacoyagua,52,42,15.3484225,-92.67773804,2024-11,9181067745,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,FALSE,FALSE,,TRUE,,,
10880378,FARMACIA ESQUIPULA,,464111,Farmacias sin minisúper,0 a 5 personas,CENTRAL MIGUEL HIDALGO NORTE,COSTERA,0,30590,7,Chiapas,1,Acacoyagua,1,Acacoyagua,67,1,15.3425047,-92.67453966,2024-11,9646245873,,,FALSE,TRUE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,"MARKED IN GSV, Farmacia esquipulas",
11016505,ABARROTES MAGDA,,464112,Farmacias con minisúper,0 a 5 personas,CARLOS CASUGA OSAKA,COSTERA,0,30590,7,Chiapas,1,Acacoyagua,1,Acacoyagua,67,43,15.34267525,-92.67652562,2024-11,6677039647,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,FALSE,FALSE,,,,NAME SAYS ABARROTES,
11251441,FARMACIA GUERRERO,,464111,Farmacias sin minisúper,0 a 5 personas,VICENTE GUERRERO NORTE,ZACATECAS,0,30590,7,Chiapas,1,Acacoyagua,1,Acacoyagua,52,2,15.34485939,-92.67699226,2024-11,9181055630,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,FALSE,FALSE,,,TRUE,SEEMS TO BE A HOUSE,
359070,FARMACIA SANTA CRUZ,,464111,Farmacias sin minisúper,0 a 5 personas,MORELOS,PROFESOR CONSUELO SOLORZANO,0,29374,7,Chiapas,2,Acala,1,Acala,149,19,16.55610694,-92.81051549,2010-07,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
359478,FARMACIA SAN PABLO,,464111,Farmacias sin minisúper,0 a 5 personas,TERCERA ORIENTE SUR LIBERTAD,TERCERA SUR ORIENTE,0,29370,7,Chiapas,2,Acala,1,Acala,11,2,16.55205015,-92.80484414,2010-07,,,,TRUE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,TRUE,INDEPENDENT,,,,
359482,FARMACIA DEL NIÑO DOCTOR,,464111,Farmacias sin minisúper,0 a 5 personas,INDEPENDENCIA,PRIMERA ORIENTE SUR HIDALGO,0,29370,7,Chiapas,2,Acala,1,Acala,11,6,16.55220923,-92.80682958,2010-07,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
360023,FARMACIA SAN JOSE,,464111,Farmacias sin minisúper,0 a 5 personas,MORELOS,EL RECREO,,29372,7,Chiapas,2,Acala,1,Acala,134,5,16.55506004,-92.8074739,2010-07,9613644453,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
360052,FARMACIAS SIMILARES,,464111,Farmacias sin minisúper,6 a 10 personas,MORELOS,PRIMERA ORIENTE SUR HIDALGO,0,29370,7,Chiapas,2,Acala,1,Acala,134,13,16.55425932,-92.8053437,2010-07,,JUANCARLOS@HOTMAIL.COM,,TRUE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,TRUE,FARMACIAS SIMILARES,,,,
384480,FARMACIA SAN ISIDRO,,464111,Farmacias sin minisúper,0 a 5 personas,CENTRAL NORTE,CUARTA NORTE PONIENTE,105,29370,7,Chiapas,2,Acala,1,Acala,134,30,16.55792674,-92.80472472,2014-12,9616535035,,,TRUE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,TRUE,INDEPENDENT,,,,
6974934,FARMA SALUD,,464111,Farmacias sin minisúper,0 a 5 personas,PRIMERA ORIENTE SUR HIDALGO,CENTRAL ORIENTE,,29370,7,Chiapas,2,Acala,1,Acala,134,13,16.55425139,-92.80565347,2019-11,,,,FALSE,TRUE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
