unique_code,filename,name,text,pado,consultorio_match_score,validation,validation_maleja,type,notes,address,unnamed:_13,unnamed:_14,unnamed:_15,unnamed:_16,unnamed:_17,unnamed:_18,unnamed:_19,unnamed:_20,validacion_agente,unnamed:_22,unnamed:_23,unnamed:_24,unnamed:_25,unnamed:_26,unnamed:_27,unnamed:_28,place_id,google_maps_uri,address_components,16.2381178,result_lng,display_name,formatted_address,in_target_municipality,municipality_name,zip_code,ra,pharmacy,v1,result_lat,pharmacy.1,v42,gsv_id,zipcode_gsv,name_clean,id,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,nom_vial,nom_v_e_1,numero_ext,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,fecha_alta,telefono,correoelec,www,pado_geo,location_match,name_match,zipcode_denue,nom_estab_clean,name_score,zip_flag,merged_latitude,Cve_ent,Cve_mun,Cve_loc,Ageb,Manzana,Cvegeo_ageb,Cvegeo_mza,key_ageb,POBTOT,PDER_SS,PSINDER,PCON_DISC,PCON_LIMI,P15YM_AN,GRAPROES,VPH_C_ELEC,VPH_AGUADV,VPH_DRENAJ,VPH_PISODT,PRO_OCUP_C,TOTHOG,insured_rate,disability_rate,electricity_access_rate,piped_water_access_rate,drainage_access_rate,floor_material_rate,occupants_per_room,average_schooling
ChIJJWjgJOVF7YURTenT2up_HDQ,ChIJJWjgJOVF7YURTenT2up_HDQ_2023-07_right_19.jpg,FARMACIA LA PAZ - SAN CRISTOBAL DE LAS AMERICAS,"Comex
 ¬© 2023 Google
 Se aceptan Tarjetas De Crédito Servicio a Doinicilio Tel:01 967 11 6 0769
 NUEVO
 Impermeabilizante
 LIBUS
 cubeto
 Eficiente y fácil de aplicar
 No requiere mollo de refuerzo
 Comex
 Google
 23 Foogle
 Google",False,73.3333333,False,,,not found,"Blvd. de las Americas 5-Local 9 y 10, Col. San Diego, 29270 San Cristóbal de las Casas, Chis., M‚àö¬©xico",,,,,,,,,,,,,,,,,ChIJJWjgJOVF7YURTenT2up_HDQ,https://maps.google.com/?cid=3755016835990546765,"[{'longText': 'Local 9 y 10', 'shortText': 'Local 9 y 10', 'types': ['subpremise'], 'languageCode': 'es'}, {'longText': '5', 'shortText': '5', 'types': ['street_number'], 'languageCode': 'es'}, {'longText': 'Boulevard de las Americas', 'shortText': 'Blvd. de las Americas', 'types': ['route'], 'languageCode': 'es'}, {'longText': 'Col. San Diego', 'shortText': 'Col. San Diego', 'types': ['sublocality_level_1', 'sublocality', 'political'], 'languageCode': 'es'}, {'longText': 'San Crist√≥bal de las Casas', 'shortText': 'San Crist√≥bal de las Casas', 'types': ['locality', 'political'], 'languageCode': 'es'}, {'longText': 'Chiapas', 'shortText': 'Chis.', 'types': ['administrative_area_level_1', 'political'], 'languageCode': 'es'}, {'longText': 'México', 'shortText': 'MX', 'types': ['country', 'political'], 'languageCode': 'es'}, {'longText': '29270', 'shortText': '29270', 'types': ['postal_code'], 'languageCode': 'es'}]",16.2381178,-92.636466,Farmacia La Paz,"Blvd. de las Americas 5-Local 9 y 10, Col. San Diego, 29270 San Crist√≥bal de las Casas, Chis., México",True,San Cristobal de las Casas,29270.0,Vianna,False,,,,,2,29270.0,la paz - san cristobal de las americas,11380043.0,FARMACIA INSURGENTES,,464111.0,Farmacias sin minisúper,0 a 5 personas,INSURGENTES,ESCUTIA,80.0,29250.0,7.0,Chiapas,78.0,San Cristóbal de las Casas,1.0,San Cristóbal de las Casas,240,8.0,2024-11,,,,True,False,False,29250.0,insurgentes,0.4878104352,Mismatch,16.2381178,7,78,1,0240,8,0707800010240,0707800010240008,0707800010240,2920,1761.0,1157.0,109.0,203.0,89.0,11.19,785.0,785.0,785.0,778.0,0.93,788.0,0.6030821917808219,0.10684931506849316,0.9961928934010152,0.9961928934010152,0.9961928934010152,0.9873096446700508,0.93,11.19
ChIJhe48VugKjoURJ6Po-IBDgrQ,ChIJhe48VugKjoURJ6Po-IBDgrQ_2025-04_right_247.jpg,Farmacia Del Centro,"Google
 9623149669
 RROTES AN
 AURANTE
 Almuerzos
 2025 Google
 Google",False,50.0,False,,,closed,"6a. Ote., Centro, 30890 Cacahoat‚àö¬∞n, Chis., M‚àö¬©xico",,,,,,,,,,,,,,,,,ChIJhe48VugKjoURJ6Po-IBDgrQ,https://maps.google.com/?cid=13007032895010284327,"[{'longText': '6a. Oriente', 'shortText': '6a. Ote.', 'types': ['route'], 'languageCode': 'es'}, {'longText': 'Centro', 'shortText': 'Centro', 'types': ['sublocality_level_1', 'sublocality', 'political'], 'languageCode': 'es'}, {'longText': 'Cacahoatán', 'shortText': 'Cacahoatán', 'types': ['locality', 'political'], 'languageCode': 'es'}, {'longText': 'Chiapas', 'shortText': 'Chis.', 'types': ['administrative_area_level_1', 'political'], 'languageCode': 'es'}, {'longText': 'México', 'shortText': 'MX', 'types': ['country', 'political'], 'languageCode': 'es'}, {'longText': '30890', 'shortText': '30890', 'types': ['postal_code'], 'languageCode': 'es'}]",16.2381178,-92.167094,Farmacia Del Centro,"6a. Ote., Centro, 30890 Cacahoatán, Chis., México",True,Cacahoatan,30890.0,Vianna,False,,,,,5,30890.0,del centro,8662844.0,FARMACIA DEL CENTRO,,464111.0,Farmacias sin minisúper,0 a 5 personas,SEXTA ORIENTE,TERCERA SUR,0.0,30890.0,7.0,Chiapas,15.0,Cacahoatán,1.0,Cacahoatán,96,27.0,2019-11,,,,False,True,False,30890.0,del centro,1.0,Match,16.2381178,7,15,1,0096,27,0701500010096,0701500010096027,0701500010096,1452,778.0,674.0,44.0,116.0,64.0,9.76,397.0,397.0,397.0,394.0,1.18,397.0,0.5358126721763086,0.11019283746556474,1.0,1.0,1.0,0.9924433249370277,1.18,9.76
ChIJOeWX46lAjYUR0meXImhy3dg,ChIJOeWX46lAjYUR0meXImhy3dg_2024-07_right_177.jpg,ENFERMER√çA Y FARMACIA EMMANUEL,"MICHOACANA
 PALETERIA Y NEVERIA
 TAQUER√çA
 Platillos: Gringas Tacos, Tortas, Charolas, Ba
 Google
 COMITAN
 0787
 COMITAN
 S COMITAN
 Google",False,72.7272727,False,,,,"11A. Calle Sur Pte, 28 de Agosto, Comitán de Domínguez",,,,,,,,,,,,,,,,,ChIJOeWX46lAjYUR0meXImhy3dg,https://maps.google.com/?cid=15626772073628002258,"[{'longText': '11A. Calle Sur Poniente', 'shortText': '11A. Calle Sur Pte', 'types': ['route'], 'languageCode': 'es'}, {'longText': '28 de Agosto', 'shortText': '28 de Agosto', 'types': ['sublocality_level_1', 'sublocality', 'political'], 'languageCode': 'es'}, {'longText': 'Comitán de Domínguez', 'shortText': 'Comitán de Domínguez', 'types': ['locality', 'political'], 'languageCode': 'es'}, {'longText': 'Chiapas', 'shortText': 'Chis.', 'types': ['administrative_area_level_1', 'political'], 'languageCode': 'es'}, {'longText': 'México', 'shortText': 'MX', 'types': ['country', 'political'], 'languageCode': 'es'}, {'longText': '30068', 'shortText': '30068', 'types': ['postal_code'], 'languageCode': 'es'}]",16.2381178,-92.145226,ENFERMER√çA Y FARMACIA EMMANUEL,"11A. Calle Sur Pte, 28 de Agosto, 30068 Comitán de Domínguez, Chis., México",True,Comitan,30068.0,Diego,True,,,,,6,,enfermera^sa§a y emmanuel,9791066.0,FARMACIA EMANUEL,,464111.0,Farmacias sin minisúper,0 a 5 personas,DECIMA PRIMERA SUR PONIENTE,PUEBLA,0.0,30099.0,7.0,Chiapas,19.0,Comitán de Domínguez,1.0,Comitán de Domínguez,610,7.0,2024-11,9631729981.0,,,False,True,False,30099.0,emanuel,0.5047619048,GSV Zip Missing,16.2381178,7,19,1,0610,7,0701900010610,0701900010610007,0701900010610,791,385.0,403.0,22.0,65.0,21.0,10.51,217.0,217.0,217.0,215.0,0.94,217.0,0.48672566371681414,0.10998735777496839,1.0,1.0,1.0,0.9907834101382489,0.94,10.51
ChIJzXeD2VdHjYURbl2Rk9iIYyM,ChIJzXeD2VdHjYURbl2Rk9iIYyM_2024-07_right_345.jpg,HAU FARMACIAS,"Servicio
 24
 2024 Goo
 14
 2024 Google
 2 Google
 Google
 ¬© Google",False,69.5652174,False,,,,"C. 4A Nte. Pte. 95, Santa Cecilia, Comitán de Domínguez",,,,,,,,,,,,,,,,,ChIJzXeD2VdHjYURbl2Rk9iIYyM,https://maps.google.com/?cid=2550032277791923566&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,"[{'longText': '95', 'shortText': '95', 'types': ['street_number'], 'languageCode': 'es'}, {'longText': 'Calle 4A Norte Poniente', 'shortText': 'C. 4A Nte. Pte.', 'types': ['route'], 'languageCode': 'es'}, {'longText': 'Santa Cecilia', 'shortText': 'Santa Cecilia', 'types': ['sublocality_level_1', 'sublocality', 'political'], 'languageCode': 'es'}, {'longText': 'Comitán de Domínguez', 'shortText': 'Comitán de Domínguez', 'types': ['locality', 'political'], 'languageCode': 'es'}, {'longText': 'Chiapas', 'shortText': 'Chis.', 'types': ['administrative_area_level_1', 'political'], 'languageCode': 'es'}, {'longText': 'México', 'shortText': 'MX', 'types': ['country', 'political'], 'languageCode': 'es'}, {'longText': '30069', 'shortText': '30069', 'types': ['postal_code'], 'languageCode': 'es'}]",16.2381178,-92.145303,HAU FARMACIAS,"C. 4A Nte. Pte. 95, Santa Cecilia, 30069 Comitán de Domínguez, Chis., México",True,Comitan,30069.0,Diego,True,,,,,9,,hau farmacias,411099.0,H-U DE LA CRUZ FARMACIAS DEL SUR,FARMACIAS DEL SUR SA DE CV,464111.0,Farmacias sin minisúper,0 a 5 personas,CUARTA NORTE PONIENTE,SEPTIMA PONIENTE NORTE,95.0,30069.0,7.0,Chiapas,19.0,Comitán de Domínguez,1.0,Comitán de Domínguez,220,5.0,2014-12,,HUFARMACIADELSUR@GMAIL.COM,,True,True,True,30069.0,h-u de la cruz farmacias del sur,0.6866987179,GSV Zip Missing,16.2381178,7,19,1,0220,5,0701900010220,0701900010220005,0701900010220,3355,1985.0,1370.0,110.0,309.0,263.0,8.59,897.0,883.0,889.0,866.0,1.0,899.0,0.5916542473919523,0.12488822652757078,0.9977753058954394,0.982202447163515,0.9888765294771968,0.9632925472747497,1.0,8.59
ChIJYbgeylvD7IURO843gRSsso4,ChIJYbgeylvD7IURO843gRSsso4_2024-07_right_207.jpg,Farmacia EL FENIX,"Mi farmacia1
 e tu salud es lo mas importante
 tus fotos!
 Aqui
 SKY, DISH, VETV
 AUON
 LUZ
 RECARGAS: TOORS LAS COMPARIRS
 Tel. 961 656 00 34
 SIMILARES
 GENERICOS
 Google
 FARMA
 TURALES
 Google",False,66.6666667,False,,,,"Central Ote. 108, San Sebasti‚àö¬∞n, 29130 Berrioz‚àö¬∞bal, Chis., M‚àö¬©xico",,,,,,,,,,,,,,,,,ChIJYbgeylvD7IURO843gRSsso4,https://maps.google.com/?cid=10282470103307505211,"[{'longText': '108', 'shortText': '108', 'types': ['street_number'], 'languageCode': 'es'}, {'longText': 'Central Oriente', 'shortText': 'Central Ote.', 'types': ['route'], 'languageCode': 'es'}, {'longText': 'San Sebastián', 'shortText': 'San Sebastián', 'types': ['sublocality_level_1', 'sublocality', 'political'], 'languageCode': 'es'}, {'longText': 'Berriozábal', 'shortText': 'Berriozábal', 'types': ['locality', 'political'], 'languageCode': 'es'}, {'longText': 'Chiapas', 'shortText': 'Chis.', 'types': ['administrative_area_level_1', 'political'], 'languageCode': 'es'}, {'longText': 'México', 'shortText': 'MX', 'types': ['country', 'political'], 'languageCode': 'es'}, {'longText': '29130', 'shortText': '29130', 'types': ['postal_code'], 'languageCode': 'es'}]",16.2381178,-93.271234,Farmacia EL FENIX,"Central Ote. 108, San Sebastián, 29130 Berriozábal, Chis., México",True,Berriozabal,29130.0,Diego,True,,,,,10,29130.0,el fenix,476124.0,FARMACIA DEL SUR,DISTRIBUIDORA DE PRODUCTOS M Y M SA DE CV,464112.0,Farmacias con minisúper,6 a 10 personas,CENTRAL ORIENTE,PRIMERA ORIENTE SUR,,29130.0,7.0,Chiapas,12.0,Berriozábal,1.0,Berriozábal,94,12.0,2010-07,,FARMACIA_DEL_SUR@HOTMAIL.COM,,False,True,False,29130.0,del sur,0.6011904762,Match,16.2381178,7,12,1,0094,12,0701200010094,0701200010094012,0701200010094,2786,1587.0,1194.0,94.0,194.0,115.0,10.04,656.0,635.0,654.0,646.0,1.01,658.0,0.5696338837042355,0.10337401292175162,0.9969604863221885,0.9650455927051672,0.993920972644377,0.9817629179331308,1.01,10.04
ChIJ0c0lyFvD7IUR-WdOhrexcI4,ChIJ0c0lyFvD7IUR-WdOhrexcI4_2024-07_right_309.jpg,Mi farmacia,"NICERIA LA UNICA
 Google
 CALIDAD
 HIGIENE
 Y SERVICIO
 PESO EXACTO
 58/57/1
 72
 CHALTRES
 MET
 08/20
 CHORRO
 Google",False,66.6666667,False,,,,"Central Ote. 68, San Sebastián, Berriozábal",,,,,,,,,,,,,,,,,ChIJ0c0lyFvD7IUR-WdOhrexcI4,https://maps.google.com/?cid=10263898952567777273,"[{'longText': '68', 'shortText': '68', 'types': ['street_number'], 'languageCode': 'es'}, {'longText': 'Central Oriente', 'shortText': 'Central Ote.', 'types': ['route'], 'languageCode': 'es'}, {'longText': 'San Sebastián', 'shortText': 'San Sebastián', 'types': ['sublocality_level_1', 'sublocality', 'political'], 'languageCode': 'es'}, {'longText': 'Berriozábal', 'shortText': 'Berriozábal', 'types': ['locality', 'political'], 'languageCode': 'es'}, {'longText': 'Chiapas', 'shortText': 'Chis.', 'types': ['administrative_area_level_1', 'political'], 'languageCode': 'es'}, {'longText': 'México', 'shortText': 'MX', 'types': ['country', 'political'], 'languageCode': 'es'}, {'longText': '29130', 'shortText': '29130', 'types': ['postal_code'], 'languageCode': 'es'}]",16.2381178,-93.271476,Mi farmacia,"Central Ote. 68, San Sebastián, 29130 Berriozábal, Chis., México",True,Berriozabal,29130.0,Diego,True,,,,,11,,mi,476124.0,FARMACIA DEL SUR,DISTRIBUIDORA DE PRODUCTOS M Y M SA DE CV,464112.0,Farmacias con minisúper,6 a 10 personas,CENTRAL ORIENTE,PRIMERA ORIENTE SUR,,29130.0,7.0,Chiapas,12.0,Berriozábal,1.0,Berriozábal,94,12.0,2010-07,,FARMACIA_DEL_SUR@HOTMAIL.COM,,False,True,False,29130.0,del sur,0.0,GSV Zip Missing,16.2381178,7,12,1,0094,12,0701200010094,0701200010094012,0701200010094,2786,1587.0,1194.0,94.0,194.0,115.0,10.04,656.0,635.0,654.0,646.0,1.01,658.0,0.5696338837042355,0.10337401292175162,0.9969604863221885,0.9650455927051672,0.993920972644377,0.9817629179331308,1.01,10.04
ChIJj8Bnn1I_jYURL2XU-Xo7zWw,ChIJj8Bnn1I_jYURL2XU-Xo7zWw_2024-07_center_73.jpg,FARMACIA Evelin,"2024 6
 uebli Plus FARMACIA Evelin
 UEBLERIAS
 LABORATORIO QU√çMICO
 Wireles
 ULTRASONIDO Y ODONTOLOG√çA
 C
 Google
 –º–µ—Ä–æ
 FARMACI
 Google",False,66.6666667,False,,,,"5a. Av. Pte. Nte. 3, La Pileta, Comitán de Domínguez",,,,,,,,,,,,,,,,,ChIJj8Bnn1I_jYURL2XU-Xo7zWw,https://maps.google.com/?cid=7839987925685396783,"[{'longText': '3', 'shortText': '3', 'types': ['street_number'], 'languageCode': 'es'}, {'longText': '5a. Av. Poniente Norte', 'shortText': '5a. Av. Pte. Nte.', 'types': ['route'], 'languageCode': 'es'}, {'longText': 'La Pileta', 'shortText': 'La Pileta', 'types': ['sublocality_level_1', 'sublocality', 'political'], 'languageCode': 'es'}, {'longText': 'Comitán de Domínguez', 'shortText': 'Comitán de Domínguez', 'types': ['locality', 'political'], 'languageCode': 'es'}, {'longText': 'Chiapas', 'shortText': 'Chis.', 'types': ['administrative_area_level_1', 'political'], 'languageCode': 'es'}, {'longText': 'México', 'shortText': 'MX', 'types': ['country', 'political'], 'languageCode': 'es'}, {'longText': '30029', 'shortText': '30029', 'types': ['postal_code'], 'languageCode': 'es'}]",16.2381178,-92.135416,FARMACIA Evelin,"5a. Av. Pte. Nte. 3, La Pileta, 30029 Comitán de Domínguez, Chis., México",True,Comitan,30029.0,Diego,True,,,,,13,,evelin,10466903.0,FARMACIA PRIMERO DE JUNIO,,464111.0,Farmacias sin minisúper,0 a 5 personas,QUINTA PONIENTE SUR,DECIMA SUR PONIENTE,0.0,30029.0,7.0,Chiapas,19.0,Comitán de Domínguez,1.0,Comitán de Domínguez,502,16.0,2024-11,9632496150.0,,,False,True,False,30029.0,primero de junio,0.4513888889,GSV Zip Missing,16.2381178,7,19,1,0502,16,0701900010502,0701900010502016,0701900010502,3398,1611.0,1779.0,120.0,270.0,156.0,9.08,886.0,883.0,887.0,871.0,0.99,890.0,0.474102413184226,0.11477339611536198,0.9955056179775281,0.9921348314606742,0.996629213483146,0.9786516853932584,0.99,9.08
ChIJ22mbXrk4jYURLoMHor5EQKQ,ChIJ22mbXrk4jYURLoMHor5EQKQ_2024-11_center_257.jpg,Farmacia San Agustin,"Google
 2025 Google
 2025 Noogle
 Material to coraci√≥n Nature
 Gectrices interdi
 faca on Agu
 Medisantes de p
 JARACA
 963 223 2984
 A
 acia
 Fuente de S
 Google",False,66.6666667,False,,,,"Octava Ote. Nte., Pilita Seca, Comitán de Domínguez",,,,,,,,,,,,,,,,,ChIJ22mbXrk4jYURLoMHor5EQKQ,https://maps.google.com/?cid=11835535406282539822&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,"[{'longText': 'Octava Oriente Norte', 'shortText': 'Octava Ote. Nte.', 'types': ['route'], 'languageCode': 'es'}, {'longText': 'Pilita Seca', 'shortText': 'Pilita Seca', 'types': ['sublocality_level_1', 'sublocality', 'political'], 'languageCode': 'es'}, {'longText': 'Comitán de Domínguez', 'shortText': 'Comitán de Domínguez', 'types': ['locality', 'political'], 'languageCode': 'es'}, {'longText': 'Chiapas', 'shortText': 'Chis.', 'types': ['administrative_area_level_1', 'political'], 'languageCode': 'es'}, {'longText': 'México', 'shortText': 'MX', 'types': ['country', 'political'], 'languageCode': 'es'}, {'longText': '30030', 'shortText': '30030', 'types': ['postal_code'], 'languageCode': 'es'}]",16.2381178,-92.13003,Farmacia San Agustin,"Octava Ote. Nte., Pilita Seca, 30030 Comitán de Domínguez, Chis., México",True,Comitan,30030.0,Diego,True,,,,,16,,san agustin,10787602.0,FARMACIA SAN AGUSTIN,,464111.0,Farmacias sin minisúper,0 a 5 personas,OCTAVA ORIENTE NORTE,PRIMERA NORTE ORIENTE,0.0,30015.0,7.0,Chiapas,19.0,Comitán de Domínguez,1.0,Comitán de Domínguez,451,41.0,2024-11,9632232984.0,,,False,True,False,30015.0,san agustin,1.0,GSV Zip Missing,16.2381178,7,19,1,0451,41,0701900010451,0701900010451041,0701900010451,4025,1700.0,2287.0,134.0,204.0,303.0,8.68,1027.0,1024.0,1023.0,967.0,1.03,1039.0,0.422360248447205,0.08397515527950311,0.9884504331087585,0.9855630413859481,0.9846005774783445,0.9307025986525506,1.03,8.68
ChIJjZSPVls_jYURXLEdv8Soklo,ChIJjZSPVls_jYURXLEdv8Soklo_2024-10_center_111.jpg,FARMACIA Y REGALOS MANUELITO,"Google
 2025-G
 Outfits
 ROPA AMERICANA
 KG
 YA CONTAMOS CON
 ROPA PARA HINGS
 Google",False,66.6666667,False,,,,"Carr. ál Cuartel Militar, Salubridad, Comitán de Domínguez",,,,,,,,,,,,,,,,,ChIJjZSPVls_jYURXLEdv8Soklo,https://maps.google.com/?cid=6526464372986720604&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,"[{'longText': 'Carretera ál Cuartel Militar', 'shortText': 'Carr. ál Cuartel Militar', 'types': ['route'], 'languageCode': 'es'}, {'longText': 'Salubridad', 'shortText': 'Salubridad', 'types': ['sublocality_level_1', 'sublocality', 'political'], 'languageCode': 'es'}, {'longText': 'Comitán de Domínguez', 'shortText': 'Comitán de Domínguez', 'types': ['locality', 'political'], 'languageCode': 'es'}, {'longText': 'Chiapas', 'shortText': 'Chis.', 'types': ['administrative_area_level_1', 'political'], 'languageCode': 'es'}, {'longText': 'México', 'shortText': 'MX', 'types': ['country', 'political'], 'languageCode': 'es'}, {'longText': '30090', 'shortText': '30090', 'types': ['postal_code'], 'languageCode': 'es'}]",16.2381178,-92.135553,FARMACIA Y REGALOS MANUELITO,"Carr. ál Cuartel Militar, Salubridad, 30090 Comitán de Domínguez, Chis., México",True,Comitan,30090.0,Diego,True,,,,,18,,y regalos manuelito,9701758.0,FARMACIA Y REGALOS MANUELITO,,464111.0,Farmacias sin minisúper,0 a 5 personas,REAL CHICHIMA,MONTES AZULES,0.0,30090.0,7.0,Chiapas,19.0,Comitán de Domínguez,1.0,Comitán de Domínguez,714,14.0,2024-11,,,,False,True,True,30090.0,y regalos manuelito,1.0,GSV Zip Missing,16.2381178,7,19,1,0714,14,0701900010714,0701900010714014,0701900010714,2067,1191.0,875.0,67.0,130.0,70.0,9.37,554.0,516.0,554.0,535.0,1.01,555.0,0.5761973875181422,0.09530720851475569,0.9981981981981982,0.9297297297297298,0.9981981981981982,0.963963963963964,1.01,9.37
ChIJUcfwhgk5jYURWemlel-38CY,ChIJUcfwhgk5jYURWemlel-38CY_2024-11_left_250.jpg,Farmacias La Piedad,"VICIO
 MICILIO
 3903
 1292
 CIA
 Google
 2029 Comple
 SE RENTA
 UNLOCKER'S
 REPARACI√ìN DE TELEFONIA CELULAR
 UPLASHEU
 LIBERACION
 es Google
 DESBLOQUEO CEL.963-113-05-84
 If
 VENTA CHIPS: TELCEL MOVISTAR, AT&T, BITE.
 NO ESTACIONAR SE
 EN USO LAS 24 HRS.
 Google
 fox 2025 Coils",False,66.6666667,True,,,,"Quinta Nte. Ote., El Cedro, Comitán de Domínguez",,,,,,,,,,,,,,,,,ChIJUcfwhgk5jYURWemlel-38CY,https://maps.google.com/?cid=2805944188559288665&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,"[{'longText': 'Quinta Norte Oriente', 'shortText': 'Quinta Nte. Ote.', 'types': ['route'], 'languageCode': 'es'}, {'longText': 'El Cedro', 'shortText': 'El Cedro', 'types': ['neighborhood', 'political'], 'languageCode': 'es'}, {'longText': 'El Cedro', 'shortText': 'El Cedro', 'types': ['sublocality_level_1', 'sublocality', 'political'], 'languageCode': 'es'}, {'longText': 'Comitán de Domínguez', 'shortText': 'Comitán de Domínguez', 'types': ['locality', 'political'], 'languageCode': 'es'}, {'longText': 'Chiapas', 'shortText': 'Chis.', 'types': ['administrative_area_level_1', 'political'], 'languageCode': 'es'}, {'longText': 'México', 'shortText': 'MX', 'types': ['country', 'political'], 'languageCode': 'es'}, {'longText': '30010', 'shortText': '30010', 'types': ['postal_code'], 'languageCode': 'es'}]",16.2381178,-92.1312,Farmacias La Piedad,"Quinta Nte. Ote., El Cedro, 30010 Comitán de Domínguez, Chis., México",True,Comitan,30010.0,DIego,True,,,,,19,,farmacias la piedad,10068580.0,FARMACIAS LA PIEDAD,CORPORATIVO INTEGRAL FARMACEUTICO LA PIEDAD SA DE CV,464111.0,Farmacias sin minisúper,0 a 5 personas,QUINTA NORTE ORIENTE,NINGUNO,0.0,30010.0,7.0,Chiapas,19.0,Comitán de Domínguez,1.0,Comitán de Domínguez,451,29.0,2024-11,9636321741.0,FARLAPIEDAD82@HOTMAIL.COM,,True,True,False,30010.0,farmacias la piedad,1.0,GSV Zip Missing,16.2381178,7,19,1,0451,29,0701900010451,0701900010451029,0701900010451,4025,1700.0,2287.0,134.0,204.0,303.0,8.68,1027.0,1024.0,1023.0,967.0,1.03,1039.0,0.422360248447205,0.08397515527950311,0.9884504331087585,0.9855630413859481,0.9846005774783445,0.9307025986525506,1.03,8.68
