Unique Code,filename,name,text,PADO,consultorio_match_score,Validation,Validation Maleja,Type,notes,Address,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Validacion Agente,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,place_id,google_maps_uri,address_components,16.2381178,result_lng,display_name,formatted_address,in_target_municipality,municipality_name,zip_code,RA,PHARMACY,V1,result_lat,Pharmacy,V42,gsv_id,zipcode_gsv,name_clean,id,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,nom_vial,nom_v_e_1,numero_ext,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,fecha_alta,telefono,correoelec,www,PADO_geo,location_match,name_match,zipcode_denue,nom_estab_clean,name_score,zip_flag
ChIJBx-HiRpF7YUR1axIrEPDF8g,ChIJBx-HiRpF7YUR1axIrEPDF8g_2023-09_left_65.jpg,"Farmacia """"La Fortaleza""""","Google
 Google
 Love
 Esp
 Servicio de To
 Servicio a Do
 Llamanos al cel
 Hanne de se
 a
 Google",FALSE,73.3333333,FALSE,,,closed,"Ruiz Garc‚àö‚â†a 51, Emiliano Zapata, 29218 San Cristóbal de las Casas, Chis., M‚àö¬©xico",,,,,,,,,,,,,,,,,ChIJBx-HiRpF7YUR1axIrEPDF8g,https://maps.google.com/?cid=14418207427470601429,"[{'longText': '51', 'shortText': '51', 'types': ['street_number'], 'languageCode': 'es'}, {'longText': 'Ruiz García', 'shortText': 'Ruiz García', 'types': ['route'], 'languageCode': 'es'}, {'longText': 'Emiliano Zapata', 'shortText': 'Emiliano Zapata', 'types': ['sublocality_level_1', 'sublocality', 'political'], 'languageCode': 'es'}, {'longText': 'San Crist√≥bal de las Casas', 'shortText': 'San Crist√≥bal de las Casas', 'types': ['locality', 'political'], 'languageCode': 'es'}, {'longText': 'Chiapas', 'shortText': 'Chis.', 'types': ['administrative_area_level_1', 'political'], 'languageCode': 'es'}, {'longText': 'México', 'shortText': 'MX', 'types': ['country', 'political'], 'languageCode': 'es'}, {'longText': '29218', 'shortText': '29218', 'types': ['postal_code'], 'languageCode': 'es'}]",16.2381178,-92.646349,"Farmacia """"La Fortaleza""""","Ruiz García 51, Emiliano Zapata, 29218 San Crist√≥bal de las Casas, Chis., México",TRUE,San Cristobal de las Casas,29218,Vianna,FALSE,,,,,1,29218,"""""la fortaleza""""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mismatch
ChIJJWjgJOVF7YURTenT2up_HDQ,ChIJJWjgJOVF7YURTenT2up_HDQ_2023-07_right_19.jpg,FARMACIA LA PAZ - SAN CRISTOBAL DE LAS AMERICAS,"Comex
 ¬© 2023 Google
 Se aceptan Tarjetas De Crédito Servicio a Doinicilio Tel:01 967 11 6 0769
 NUEVO
 Impermeabilizante
 LIBUS
 cubeto
 Eficiente y fácil de aplicar
 No requiere mollo de refuerzo
 Comex
 Google
 23 Foogle
 Google",FALSE,73.3333333,FALSE,,,not found,"Blvd. de las Americas 5-Local 9 y 10, Col. San Diego, 29270 San Cristóbal de las Casas, Chis., M‚àö¬©xico",,,,,,,,,,,,,,,,,ChIJJWjgJOVF7YURTenT2up_HDQ,https://maps.google.com/?cid=3755016835990546765,"[{'longText': 'Local 9 y 10', 'shortText': 'Local 9 y 10', 'types': ['subpremise'], 'languageCode': 'es'}, {'longText': '5', 'shortText': '5', 'types': ['street_number'], 'languageCode': 'es'}, {'longText': 'Boulevard de las Americas', 'shortText': 'Blvd. de las Americas', 'types': ['route'], 'languageCode': 'es'}, {'longText': 'Col. San Diego', 'shortText': 'Col. San Diego', 'types': ['sublocality_level_1', 'sublocality', 'political'], 'languageCode': 'es'}, {'longText': 'San Crist√≥bal de las Casas', 'shortText': 'San Crist√≥bal de las Casas', 'types': ['locality', 'political'], 'languageCode': 'es'}, {'longText': 'Chiapas', 'shortText': 'Chis.', 'types': ['administrative_area_level_1', 'political'], 'languageCode': 'es'}, {'longText': 'México', 'shortText': 'MX', 'types': ['country', 'political'], 'languageCode': 'es'}, {'longText': '29270', 'shortText': '29270', 'types': ['postal_code'], 'languageCode': 'es'}]",16.2381178,-92.636466,Farmacia La Paz,"Blvd. de las Americas 5-Local 9 y 10, Col. San Diego, 29270 San Crist√≥bal de las Casas, Chis., México",TRUE,San Cristobal de las Casas,29270,Vianna,FALSE,,,,,2,29270,la paz - san cristobal de las americas,11380043,FARMACIA INSURGENTES,,464111,Farmacias sin minisúper,0 a 5 personas,INSURGENTES,ESCUTIA,80,29250,7,Chiapas,78,San Cristóbal de las Casas,1,San Cristóbal de las Casas,240,8,2024-11,,,,TRUE,FALSE,FALSE,29250,insurgentes,0.4878104352,Mismatch
ChIJBTC461TY7IURKeE2pkDxLys,ChIJBTC461TY7IURKeE2pkDxLys_2024-07_center_16.jpg,FARMACIA,"COPIAS PRESIONES ENGARGOLADOS ENMICADOS ACTUALIZACI√ìN DE ACTAS, CURP Y M√ÅS √öTILES ESCOLARES
 CIBER Y PAPELER√çA
 PLA ESCUADRA
 Horarios:
 LV 7:00 AM-9:30PM
 SAB 8:00 AM-9:00 PM
 DOM 9:00 AM-9:30PM
 17 18 15 Point No.
 961 166 6883
 BOLSAS PARA REGALOS CARGADORES Y ACCESORIOS DE CELULARES RECARGAS TELEFONICAS CHIPS DE TELEFONOS
 54 Pogi CIBER YE
 PAPELER√çA
 LA ESCUADRA
 B
 Google
 Google",FALSE,66.6666667,FALSE,,,closed,"Av. Decimoséptima Sur Pte. 1878, El Belén, Tuxtla Gutiérrez",,,,,,,,,,,,,,,,,ChIJBTC461TY7IURKeE2pkDxLys,https://maps.google.com/?cid=3111971127505117481,"[{'longText': '1878', 'shortText': '1878', 'types': ['street_number'], 'languageCode': 'es'}, {'longText': 'Avenida 17a. Sur Poniente', 'shortText': 'Avenida 17a. Sur Poniente', 'types': ['route'], 'languageCode': 'es'}, {'longText': 'El Belén', 'shortText': 'El Belén', 'types': ['sublocality_level_1', 'sublocality', 'political'], 'languageCode': 'es'}, {'longText': 'Tuxtla Gutiérrez', 'shortText': 'Tuxtla Gutiérrez', 'types': ['locality', 'political'], 'languageCode': 'es'}, {'longText': 'Chiapas', 'shortText': 'Chis.', 'types': ['administrative_area_level_1', 'political'], 'languageCode': 'es'}, {'longText': 'México', 'shortText': 'MX', 'types': ['country', 'political'], 'languageCode': 'es'}, {'longText': '29067', 'shortText': '29067', 'types': ['postal_code'], 'languageCode': 'es'}]",16.2381178,-93.136361,FARMACIA,"Av. 17a. Sur Pte. 1878, El Belén, 29067 Tuxtla Gutiérrez, Chis., México",TRUE,Tuxtla Gutierrez,29067,Vianna,FALSE,,,,,3,,farmacia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSV Zip Missing
ChIJ63ZDO5DY7IURPeadmYtc69c,ChIJ63ZDO5DY7IURPeadmYtc69c_2024-07_center_324.jpg,Farmacia Lara,"Google
 Very
 comple
 CIA
 BOTA AL
 01
 DELIND
 ATENCION ASEGURADORAS
 0567 242:897
 AFRIE
 Quaker
 BANCATE
 Laboratari
 CIMA
 M
 ¬© Google",FALSE,66.6666667,FALSE,,,closed,"6a. Ote. Nte. 865, Las Delicias",,,,,,,,,,,,,,,,,ChIJ63ZDO5DY7IURPeadmYtc69c,https://maps.google.com/?cid=15558631092328982077,"[{'longText': '865', 'shortText': '865', 'types': ['street_number'], 'languageCode': 'es'}, {'longText': '6a. Oriente Norte', 'shortText': '6a. Ote. Nte.', 'types': ['route'], 'languageCode': 'es'}, {'longText': 'Las Delicias', 'shortText': 'Las Delicias', 'types': ['sublocality_level_1', 'sublocality', 'political'], 'languageCode': 'es'}, {'longText': 'Las Delicias', 'shortText': 'Las Delicias', 'types': ['locality', 'political'], 'languageCode': 'es'}, {'longText': 'Chiapas', 'shortText': 'Chis.', 'types': ['administrative_area_level_1', 'political'], 'languageCode': 'es'}, {'longText': 'México', 'shortText': 'MX', 'types': ['country', 'political'], 'languageCode': 'es'}, {'longText': '29034', 'shortText': '29034', 'types': ['postal_code'], 'languageCode': 'es'}]",16.2381178,-93.10934,Farmacia Lara,"6a. Ote. Nte. 865, Las Delicias, 29034 Las Delicias, Chis., México",TRUE,Tuxtla Gutierrez,29034,Vianna,FALSE,,,,,4,,lara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSV Zip Missing
ChIJhe48VugKjoURJ6Po-IBDgrQ,ChIJhe48VugKjoURJ6Po-IBDgrQ_2025-04_right_247.jpg,Farmacia Del Centro,"Google
 9623149669
 RROTES AN
 AURANTE
 Almuerzos
 2025 Google
 Google",FALSE,50,FALSE,,,closed,"6a. Ote., Centro, 30890 Cacahoat‚àö¬∞n, Chis., M‚àö¬©xico",,,,,,,,,,,,,,,,,ChIJhe48VugKjoURJ6Po-IBDgrQ,https://maps.google.com/?cid=13007032895010284327,"[{'longText': '6a. Oriente', 'shortText': '6a. Ote.', 'types': ['route'], 'languageCode': 'es'}, {'longText': 'Centro', 'shortText': 'Centro', 'types': ['sublocality_level_1', 'sublocality', 'political'], 'languageCode': 'es'}, {'longText': 'Cacahoatán', 'shortText': 'Cacahoatán', 'types': ['locality', 'political'], 'languageCode': 'es'}, {'longText': 'Chiapas', 'shortText': 'Chis.', 'types': ['administrative_area_level_1', 'political'], 'languageCode': 'es'}, {'longText': 'México', 'shortText': 'MX', 'types': ['country', 'political'], 'languageCode': 'es'}, {'longText': '30890', 'shortText': '30890', 'types': ['postal_code'], 'languageCode': 'es'}]",16.2381178,-92.167094,Farmacia Del Centro,"6a. Ote., Centro, 30890 Cacahoatán, Chis., México",TRUE,Cacahoatan,30890,Vianna,FALSE,,,,,5,30890,del centro,8662844,FARMACIA DEL CENTRO,,464111,Farmacias sin minisúper,0 a 5 personas,SEXTA ORIENTE,TERCERA SUR,0,30890,7,Chiapas,15,Cacahoatán,1,Cacahoatán,96,27,2019-11,,,,FALSE,TRUE,FALSE,30890,del centro,1,Match
ChIJOeWX46lAjYUR0meXImhy3dg,ChIJOeWX46lAjYUR0meXImhy3dg_2024-07_right_177.jpg,ENFERMER√çA Y FARMACIA EMMANUEL,"MICHOACANA
 PALETERIA Y NEVERIA
 TAQUER√çA
 Platillos: Gringas Tacos, Tortas, Charolas, Ba
 Google
 COMITAN
 0787
 COMITAN
 S COMITAN
 Google",FALSE,72.7272727,FALSE,,,,"11A. Calle Sur Pte, 28 de Agosto, Comitán de Domínguez",,,,,,,,,,,,,,,,,ChIJOeWX46lAjYUR0meXImhy3dg,https://maps.google.com/?cid=15626772073628002258,"[{'longText': '11A. Calle Sur Poniente', 'shortText': '11A. Calle Sur Pte', 'types': ['route'], 'languageCode': 'es'}, {'longText': '28 de Agosto', 'shortText': '28 de Agosto', 'types': ['sublocality_level_1', 'sublocality', 'political'], 'languageCode': 'es'}, {'longText': 'Comitán de Domínguez', 'shortText': 'Comitán de Domínguez', 'types': ['locality', 'political'], 'languageCode': 'es'}, {'longText': 'Chiapas', 'shortText': 'Chis.', 'types': ['administrative_area_level_1', 'political'], 'languageCode': 'es'}, {'longText': 'México', 'shortText': 'MX', 'types': ['country', 'political'], 'languageCode': 'es'}, {'longText': '30068', 'shortText': '30068', 'types': ['postal_code'], 'languageCode': 'es'}]",16.2381178,-92.145226,ENFERMER√çA Y FARMACIA EMMANUEL,"11A. Calle Sur Pte, 28 de Agosto, 30068 Comitán de Domínguez, Chis., México",TRUE,Comitan,30068,Diego,TRUE,,,,,6,,enfermera^sa§a y emmanuel,9791066,FARMACIA EMANUEL,,464111,Farmacias sin minisúper,0 a 5 personas,DECIMA PRIMERA SUR PONIENTE,PUEBLA,0,30099,7,Chiapas,19,Comitán de Domínguez,1,Comitán de Domínguez,610,7,2024-11,9631729981,,,FALSE,TRUE,FALSE,30099,emanuel,0.5047619048,GSV Zip Missing
ChIJOzIyUm7H7IURRvOsYVMgTLI,ChIJOzIyUm7H7IURRvOsYVMgTLI_2024-07_right_18.jpg,Ocuilapa,"iber Tecnologias karo
 vicios
 le computo
 rios.
 Servicio. Calidad y Precio.
 DE C
 CANCHING
 Google
 CIBER K-ROL
 SERVICIOS:
 PREVERIVO Y CORRECTIV
 ANTENDENT
 EQUIN DE COMPUT
 IMPRESORAS
 (ICETICAS
 ALACION DE PROG
 ATCA
 ORMATIO TRESPAL
 LAPET
 Google",FALSE,72.7272727,FALSE,,,,"Av. Tercera Nte. 32, San Bernabé, Ocozocoautla de Espinosa",,,,,,,,,,,,,,,,,ChIJOzIyUm7H7IURRvOsYVMgTLI,https://maps.google.com/?cid=12847679379474281286,"[{'longText': '32', 'shortText': '32', 'types': ['street_number'], 'languageCode': 'es'}, {'longText': 'Avenida 3a. Norte', 'shortText': 'Avenida 3a. Norte', 'types': ['route'], 'languageCode': 'es'}, {'longText': 'San Bernabé', 'shortText': 'San Bernabé', 'types': ['sublocality_level_1', 'sublocality', 'political'], 'languageCode': 'es'}, {'longText': 'Ocozocoautla de Espinosa', 'shortText': 'Ocozocoautla de Espinosa', 'types': ['locality', 'political'], 'languageCode': 'es'}, {'longText': 'Chiapas', 'shortText': 'Chis.', 'types': ['administrative_area_level_1', 'political'], 'languageCode': 'es'}, {'longText': 'México', 'shortText': 'MX', 'types': ['country', 'political'], 'languageCode': 'es'}, {'longText': '29140', 'shortText': '29140', 'types': ['postal_code'], 'languageCode': 'es'}]",16.2381178,-93.37448,Ocuilapa,"Av. 3a. Nte. 32, San Bernabé, 29140 Ocozocoautla de Espinosa, Chis., México",TRUE,Ocozocoautla,29140,Diego,FALSE,,,,,7,,ocuilapa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSV Zip Missing
ChIJgf1gyh3Z7IURhifl-1nEvWE,ChIJgf1gyh3Z7IURhifl-1nEvWE_2015-09_left_48.jpg,"GNC Plaza del Sol, Tuxtla G.","Con Latino
 gets Comple
 Can
 buah saad
 Google
 ¬© Google",FALSE,71.4285714,FALSE,,,,"5a. Nte. Pte. 2650-Local B-5, Covadonga, Tuxtla Gutiérrez",,,,,,,,,,,,,,,,,ChIJgf1gyh3Z7IURhifl-1nEvWE,https://maps.google.com/?cid=7043001283034556294,"[{'longText': 'Local B-5', 'shortText': 'Local B-5', 'types': ['subpremise'], 'languageCode': 'es'}, {'longText': '2650', 'shortText': '2650', 'types': ['street_number'], 'languageCode': 'es'}, {'longText': '5a. Norte Poniente', 'shortText': '5a. Nte. Pte.', 'types': ['route'], 'languageCode': 'es'}, {'longText': 'Covadonga', 'shortText': 'Covadonga', 'types': ['sublocality_level_1', 'sublocality', 'political'], 'languageCode': 'es'}, {'longText': 'Tuxtla Gutiérrez', 'shortText': 'Tuxtla Gutiérrez', 'types': ['locality', 'political'], 'languageCode': 'es'}, {'longText': 'Chiapas', 'shortText': 'Chis.', 'types': ['administrative_area_level_1', 'political'], 'languageCode': 'es'}, {'longText': 'México', 'shortText': 'MX', 'types': ['country', 'political'], 'languageCode': 'es'}, {'longText': '29030', 'shortText': '29030', 'types': ['postal_code'], 'languageCode': 'es'}]",16.2381178,-93.138603,"GNC Plaza del Sol, Tuxtla G.","5a. Nte. Pte. 2650-Local B-5, Covadonga, 29030 Tuxtla Gutiérrez, Chis., México",TRUE,Tuxtla Gutierrez,29030,Diego,FALSE,,,,,8,,"gnc plaza del sol, tuxtla g.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSV Zip Missing
ChIJzXeD2VdHjYURbl2Rk9iIYyM,ChIJzXeD2VdHjYURbl2Rk9iIYyM_2024-07_right_345.jpg,HAU FARMACIAS,"Servicio
 24
 2024 Goo
 14
 2024 Google
 2 Google
 Google
 ¬© Google",FALSE,69.5652174,FALSE,,,,"C. 4A Nte. Pte. 95, Santa Cecilia, Comitán de Domínguez",,,,,,,,,,,,,,,,,ChIJzXeD2VdHjYURbl2Rk9iIYyM,https://maps.google.com/?cid=2550032277791923566&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,"[{'longText': '95', 'shortText': '95', 'types': ['street_number'], 'languageCode': 'es'}, {'longText': 'Calle 4A Norte Poniente', 'shortText': 'C. 4A Nte. Pte.', 'types': ['route'], 'languageCode': 'es'}, {'longText': 'Santa Cecilia', 'shortText': 'Santa Cecilia', 'types': ['sublocality_level_1', 'sublocality', 'political'], 'languageCode': 'es'}, {'longText': 'Comitán de Domínguez', 'shortText': 'Comitán de Domínguez', 'types': ['locality', 'political'], 'languageCode': 'es'}, {'longText': 'Chiapas', 'shortText': 'Chis.', 'types': ['administrative_area_level_1', 'political'], 'languageCode': 'es'}, {'longText': 'México', 'shortText': 'MX', 'types': ['country', 'political'], 'languageCode': 'es'}, {'longText': '30069', 'shortText': '30069', 'types': ['postal_code'], 'languageCode': 'es'}]",16.2381178,-92.145303,HAU FARMACIAS,"C. 4A Nte. Pte. 95, Santa Cecilia, 30069 Comitán de Domínguez, Chis., México",TRUE,Comitan,30069,Diego,TRUE,,,,,9,,hau farmacias,411099,H-U DE LA CRUZ FARMACIAS DEL SUR,FARMACIAS DEL SUR SA DE CV,464111,Farmacias sin minisúper,0 a 5 personas,CUARTA NORTE PONIENTE,SEPTIMA PONIENTE NORTE,95,30069,7,Chiapas,19,Comitán de Domínguez,1,Comitán de Domínguez,220,5,2014-12,,HUFARMACIADELSUR@GMAIL.COM,,TRUE,TRUE,TRUE,30069,h-u de la cruz farmacias del sur,0.6866987179,GSV Zip Missing
ChIJYbgeylvD7IURO843gRSsso4,ChIJYbgeylvD7IURO843gRSsso4_2024-07_right_207.jpg,Farmacia EL FENIX,"Mi farmacia1
 e tu salud es lo mas importante
 tus fotos!
 Aqui
 SKY, DISH, VETV
 AUON
 LUZ
 RECARGAS: TOORS LAS COMPARIRS
 Tel. 961 656 00 34
 SIMILARES
 GENERICOS
 Google
 FARMA
 TURALES
 Google",FALSE,66.6666667,FALSE,,,,"Central Ote. 108, San Sebasti‚àö¬∞n, 29130 Berrioz‚àö¬∞bal, Chis., M‚àö¬©xico",,,,,,,,,,,,,,,,,ChIJYbgeylvD7IURO843gRSsso4,https://maps.google.com/?cid=10282470103307505211,"[{'longText': '108', 'shortText': '108', 'types': ['street_number'], 'languageCode': 'es'}, {'longText': 'Central Oriente', 'shortText': 'Central Ote.', 'types': ['route'], 'languageCode': 'es'}, {'longText': 'San Sebastián', 'shortText': 'San Sebastián', 'types': ['sublocality_level_1', 'sublocality', 'political'], 'languageCode': 'es'}, {'longText': 'Berriozábal', 'shortText': 'Berriozábal', 'types': ['locality', 'political'], 'languageCode': 'es'}, {'longText': 'Chiapas', 'shortText': 'Chis.', 'types': ['administrative_area_level_1', 'political'], 'languageCode': 'es'}, {'longText': 'México', 'shortText': 'MX', 'types': ['country', 'political'], 'languageCode': 'es'}, {'longText': '29130', 'shortText': '29130', 'types': ['postal_code'], 'languageCode': 'es'}]",16.2381178,-93.271234,Farmacia EL FENIX,"Central Ote. 108, San Sebastián, 29130 Berriozábal, Chis., México",TRUE,Berriozabal,29130,Diego,TRUE,,,,,10,29130,el fenix,476124,FARMACIA DEL SUR,DISTRIBUIDORA DE PRODUCTOS M Y M SA DE CV,464112,Farmacias con minisúper,6 a 10 personas,CENTRAL ORIENTE,PRIMERA ORIENTE SUR,,29130,7,Chiapas,12,Berriozábal,1,Berriozábal,94,12,2010-07,,FARMACIA_DEL_SUR@HOTMAIL.COM,,FALSE,TRUE,FALSE,29130,del sur,0.6011904762,Match
